,inf,per1,per3,pred,right,equals
16026,воздымать,воздымаю,воздымает,1,1,True
16027,задрыхнуть,задрыхну,задрыхнет,3,3,True
16028,обглядывать,обглядываю,обглядывает,1,1,True
16029,пробрать,проберу,проберёт,6,6,True
16030,превосходить,превосхожу,превосходит,4,4,True
16031,подплесневеть,подплесневею,подплесневеет,1,1,True
16032,переколоть,переколю,переколет,10ол,10ол,True
16033,блистать,блещу,блещет,6,6,True
16034,подпихивать,подпихиваю,подпихивает,1,1,True
16035,пристать,пристану,пристанет,15,15,True
16036,перезарядиться,перезаряжусь,перезарядится,4,4,True
16037,пересеивать,пересеиваю,пересеивает,1,1,True
16038,притухать,притухаю,притухает,1,1,True
16039,перелакировать,перелакирую,перелакирует,2,2,True
16040,посудить,посужу,посудит,4,4,True
16041,выпивать,выпиваю,выпивает,1,1,True
16042,разбрататься,разбратаюсь,разбратается,1,1,True
16043,захлестать,захлещу,захлещет,6,6,True
16044,нагромождаться,нагромождаюсь,нагромождается,1,1,True
16045,развлечься,развлекусь,развлечётся,8к,8к,True
16046,отстояться,отстоюсь,отстоится,5,5,True
16047,уломать,уломаю,уломает,1,1,True
16048,просушивать,просушиваю,просушивает,1,1,True
16049,застраховывать,застраховываю,застраховывает,1,1,True
16050,стебануть,стебану,стебанёт,3,3,True
16051,кренить,креню,кренит,4,4,True
16052,проскулить,проскулю,проскулит,4,4,True
16053,утискиваться,утискиваюсь,утискивается,1,1,True
16054,отталкиваться,отталкиваюсь,отталкивается,1,1,True
16055,попаливать,попаливаю,попаливает,1,1,True
16056,прикармливаться,прикармливаюсь,прикармливается,1,1,True
16057,перегадить,перегажу,перегадит,4,4,True
16058,переткнуть,переткну,переткнёт,3,3,True
16059,приблудить,приблужу,приблудит,4,4,True
16060,ввергаться,ввергаюсь,ввергается,1,1,True
16061,изумлять,изумляю,изумляет,1,1,True
16062,населяться,населяюсь,населяется,1,1,True
16063,разгрузиться,разгружусь,разгрузится,4,4,True
16064,залепить,залеплю,залепит,4,4,True
16065,разборонить,разбороню,разборонит,4,4,True
16066,продолжаться,продолжаюсь,продолжается,1,1,True
16067,насовывать,насовываю,насовывает,1,1,True
16068,курировать,курирую,курирует,2,2,True
16069,схоронить,схороню,схоронит,4,4,True
16070,надрезать,надрезаю,надрезает,1,6,False
16071,отталкивать,отталкиваю,отталкивает,1,1,True
16072,отопреть,отопрею,отопреет,1,1,True
16073,зажелтеться,зажелтеюсь,зажелтеется,1,1,True
16074,отложиться,отложусь,отложится,4,4,True
16075,пробездельничать,пробездельничаю,пробездельничает,1,1,True
16076,притомляться,притомляюсь,притомляется,1,1,True
16077,превращать,превращаю,превращает,1,1,True
16078,зарезать,зарезаю,зарезает,1,1,True
16079,перебаллотировываться,перебаллотировываюсь,перебаллотировывается,1,1,True
16080,отпрукать,отпрукаю,отпрукает,1,1,True
16081,перемолоться,перемелюсь,перемелется,10ел,10ел,True
16082,пожелать,пожелаю,пожелает,1,1,True
16083,укиснуть,укисну,укиснет,3,3,True
16084,перецеловать,перецелую,перецелует,2,2,True
16085,оттягивать,оттягиваю,оттягивает,1,1,True
16086,вволочь,вволоку,вволочёт,8к,8к,True
16087,самовозгораться,самовозгораюсь,самовозгорается,2,1,False
16088,уснастить,уснащу,уснастит,4,4,True
16089,подкапывать,подкапываю,подкапывает,1,1,True
16090,перегородить,перегорожу,перегородит,4,4,True
16091,подпечатать,подпечатаю,подпечатает,1,1,True
16092,отвлечься,отвлекусь,отвлечётся,8к,8к,True
16093,прогреть,прогрею,прогреет,12греть,12греть,True
16094,благоухать,благоухаю,благоухает,1,1,True
16095,беспокоить,беспокою,беспокоит,4,4,True
16096,доучиться,доучусь,доучится,4,4,True
16097,пропагандировать,пропагандирую,пропагандирует,2,2,True
16098,перебраковать,перебракую,перебракует,2,2,True
16099,исстрочиться,исстрочусь,исстрочится,4,4,True
16100,чуяться,чуюсь,чуется,6,6,True
16101,обрызгать,обрызгаю,обрызгает,1,1,True
16102,кудахтать,кудахчу,кудахчет,6,6,True
16103,надгибать,надгибаю,надгибает,1,1,True
16104,сострачивать,сострачиваю,сострачивает,1,1,True
16105,опаивать,опаиваю,опаивает,1,1,True
16106,прострекотать,прострекочу,прострекочет,6,6,True
16107,каркать,каркаю,каркает,1,1,True
16108,расклиниться,расклинюсь,расклинится,4,4,True
16109,заткаться,заткусь,заткётся,6,6,True
16110,перемахнуть,перемахну,перемахнёт,3,3,True
16111,рычать,рычу,рычит,5,5,True
16112,наколдовывать,наколдовываю,наколдовывает,1,1,True
16113,источить,источу,источит,4,4,True
16114,раскрасть,раскраду,раскрадёт,7д,7д,True
16115,бесчестить,бесчещу,бесчестит,4,4,True
16116,скородить,скорожу,скородит,4,4,True
16117,омрачаться,омрачаюсь,омрачается,1,1,True
16118,пронашиваться,пронашиваюсь,пронашивается,1,1,True
16119,накуковать,накукую,накукует,2,2,True
16120,вкатываться,вкатываюсь,вкатывается,1,1,True
16121,подрыть,подрою,подроет,12ы,12ы,True
16122,подсучивать,подсучиваю,подсучивает,1,1,True
16123,ароматизировать,ароматизирую,ароматизирует,2,2,True
16124,подстегнуть,подстегну,подстегнёт,3,3,True
16125,йотировать,йотирую,йотирует,2,2,True
16126,вырисовать,вырисую,вырисует,2,2,True
16127,теократизировать,теократизирую,теократизирует,2,2,True
16128,отмокнуть,отмокну,отмокнет,3,3,True
16129,подтискаться,подтискаюсь,подтискается,1,1,True
16130,запудрить,запудрю,запудрит,4,4,True
16131,поубивать,поубиваю,поубивает,1,1,True
16132,настучаться,настучусь,настучится,5,5,True
16133,расслабнуть,расслабну,расслабнет,3,3,True
16134,целить,целю,целит,4,4,True
16135,бранивать,браниваю,бранивает,1,1,True
16136,утолстить,утолщу,утолстит,4,4,True
16137,запрыгать,запрыгаю,запрыгает,1,1,True
16138,бортничать,бортничаю,бортничает,1,1,True
16139,вбухиваться,вбухиваюсь,вбухивается,1,1,True
16140,огранять,ограняю,ограняет,1,1,True
16141,покориться,покорюсь,покорится,4,4,True
16142,испепелиться,испепелюсь,испепелится,4,4,True
16143,клубить,клублю,клубит,4,4,True
16144,выигрываться,выигрываюсь,выигрывается,1,1,True
16145,помести,помету,пометёт,7т,7т,True
16146,вскармливать,вскармливаю,вскармливает,1,1,True
16147,нахамить,нахамлю,нахамит,4,4,True
16148,домести,домету,дометёт,7т,7т,True
16149,отмолоться,отмелюсь,отмелется,10ел,10ел,True
16150,растранжиривать,растранжириваю,растранжиривает,1,1,True
16151,отпрыгать,отпрыгаю,отпрыгает,1,1,True
16152,насадить,насажу,насадит,4,4,True
16153,вывернуться,вывернусь,вывернется,3,3,True
16154,приглядываться,приглядываюсь,приглядывается,1,1,True
16155,спасться,спадусь,спадётся,7д,7д,True
16156,обезжириваться,обезжириваюсь,обезжиривается,1,1,True
16157,переранить,перераню,переранит,4,4,True
16158,пружинить,пружиню,пружинит,4,4,True
16159,погрызться,погрызусь,погрызётся,7з,7з,True
16160,даровать,дарую,дарует,2,2,True
16161,бахнуться,бахнусь,бахнется,3,3,True
16162,циркулировать,циркулирую,циркулирует,2,2,True
16163,наламывать,наламываю,наламывает,1,1,True
16164,заметить,замечу,заметит,4,4,True
16165,подступаться,подступаюсь,подступается,1,1,True
16166,удостовериться,удостоверюсь,удостоверится,4,4,True
16167,мерзеть,мерзею,мерзеет,1,1,True
16168,возмещать,возмещаю,возмещает,1,1,True
16169,порскнуть,порскну,порскнёт,3,3,True
16170,умаслиться,умаслюсь,умаслится,4,4,True
16171,перенимать,перенимаю,перенимает,1,1,True
16172,растолочь,растолку,растолчёт,8к,8к,True
16173,переспеть,переспею,переспеет,1,1,True
16174,застрагивать,застрагиваю,застрагивает,1,1,True
16175,переучить,переучу,переучит,4,4,True
16176,отбежать,отбегу,отбежит,5,5,True
16177,доплатить,доплачу,доплатит,4,4,True
16178,опилить,опилю,опилит,4,4,True
16179,выпрашивать,выпрашиваю,выпрашивает,1,1,True
16180,отсыхать,отсыхаю,отсыхает,1,1,True
16181,исползать,исползаю,исползает,1,1,True
16182,спать,сплю,спит,5,5,True
16183,самоуправствовать,самоуправствую,самоуправствует,2,2,True
16184,бросать,бросаю,бросает,1,1,True
16185,обособлять,обособляю,обособляет,1,1,True
16186,вбегать,вбегаю,вбегает,1,1,True
16187,высказаться,выскажусь,выскажется,6,6,True
16188,заушить,заушу,заушит,4,4,True
16189,обеспечиться,обеспечусь,обеспечится,4,4,True
16190,фальшивить,фальшивлю,фальшивит,4,4,True
16191,населять,населяю,населяет,1,1,True
16192,вморозить,вморожу,вморозит,4,4,True
16193,засекретить,засекречу,засекретит,4,4,True
16194,бузовать,бузую,бузует,2,2,True
16195,передваивать,передваиваю,передваивает,1,1,True
16196,сватать,сватаю,сватает,1,1,True
16197,раскулачить,раскулачу,раскулачит,4,4,True
16198,молотить,молочу,молотит,4,4,True
16199,тряхнуть,тряхну,тряхнёт,3,3,True
16200,застрекотать,застрекочу,застрекочет,6,6,True
16201,осмеливаться,осмеливаюсь,осмеливается,1,1,True
16202,цепляться,цепляюсь,цепляется,1,1,True
16203,ляпнуться,ляпнусь,ляпнется,3,3,True
16204,недовыработать,недовыработаю,недовыработает,1,1,True
16205,распрыскать,распрыскаю,распрыскает,1,1,True
16206,говориться,говорюсь,говорится,4,4,True
16207,жертвовать,жертвую,жертвует,2,2,True
16208,закутиться,закучусь,закутится,4,4,True
16209,пропитаться,пропитаюсь,пропитается,1,1,True
16210,утерять,утеряю,утеряет,1,1,True
16211,сбиться,собьюсь,собьётся,11,11,True
16212,унестись,унесусь,унесётся,7с,7с,True
16213,наперчить,наперчу,наперчит,4,4,True
16214,обезводиться,обезвожусь,обезводится,4,4,True
16215,размазать,размажу,размажет,6,6,True
16216,довороваться,доворуюсь,доворуется,2,2,True
16217,скапутиться,скапучусь,скапутится,4,4,True
16218,натапливать,натапливаю,натапливает,1,1,True
16219,кадансировать,кадансирую,кадансирует,2,2,True
16220,выкашливаться,выкашливаюсь,выкашливается,1,1,True
16221,выкрашивать,выкрашиваю,выкрашивает,1,1,True
16222,накляузничаться,накляузничаюсь,накляузничается,1,1,True
16223,заворошиться,заворошусь,заворошится,4,4,True
16224,наддавать,наддаю,наддаёт,13,13,True
16225,конвейеризировать,конвейеризирую,конвейеризирует,2,2,True
16226,сроиться,сроюсь,сроится,4,4,True
16227,лазить,лажу,лазит,4,4,True
16228,субстанциализироваться,субстанциализируюсь,субстанциализируется,2,2,True
16229,просветлить,просветлю,просветлит,4,4,True
16230,распетушиться,распетушусь,распетушится,4,4,True
16231,макетировать,макетирую,макетирует,2,2,True
16232,отступиться,отступлюсь,отступится,4,4,True
16233,парафразировать,парафразирую,парафразирует,2,2,True
16234,благоволить,благоволю,благоволит,4,4,True
16235,подобрать,подберу,подберёт,6,6,True
16236,проинспектировать,проинспектирую,проинспектирует,2,2,True
16237,расшевеливать,расшевеливаю,расшевеливает,1,1,True
16238,усложниться,усложнюсь,усложнится,4,4,True
16239,прогнуться,прогнусь,прогнётся,3,3,True
16240,укипать,укипаю,укипает,1,1,True
16241,поверчивать,поверчиваю,поверчивает,1,1,True
16242,озаглавить,озаглавлю,озаглавит,4,4,True
16243,подгорать,подгораю,подгорает,1,1,True
16244,отогнуть,отогну,отогнёт,3,3,True
16245,измалевать,измалюю,измалюет,2,2,True
16246,вчувствоваться,вчувствуюсь,вчувствуется,2,2,True
16247,отрезвиться,отрезвлюсь,отрезвится,4,4,True
16248,проясниться,прояснюсь,прояснится,4,4,True
16249,отдумать,отдумаю,отдумает,1,1,True
16250,безмолвствовать,безмолвствую,безмолвствует,2,2,True
16251,протаранить,протараню,протаранит,4,4,True
16252,заматывать,заматываю,заматывает,1,1,True
16253,вырастать,вырастаю,вырастает,1,1,True
16254,заболеть,заболею,заболеет,1,5,False
16255,пробарабанить,пробарабаню,пробарабанит,4,4,True
16256,милеть,милею,милеет,1,1,True
16257,придвигать,придвигаю,придвигает,1,1,True
16258,насчитаться,насчитаюсь,насчитается,1,1,True
16259,исстругивать,исстругиваю,исстругивает,1,1,True
16260,иссаливаться,иссаливаюсь,иссаливается,1,1,True
16261,свиснуть,свисну,свиснет,3,3,True
16262,прекращаться,прекращаюсь,прекращается,1,1,True
16263,забрыкаться,забрыкаюсь,забрыкается,1,1,True
16264,исчеркать,исчеркаю,исчеркает,1,1,True
16265,нагримировываться,нагримировываюсь,нагримировывается,1,1,True
16266,артачиться,артачусь,артачится,4,4,True
16267,аккомпанировать,аккомпанирую,аккомпанирует,2,2,True
16268,забаламутить,забаламучу,забаламутит,4,4,True
16269,рядить,ряжу,рядит,4,4,True
16270,протаскаться,протаскаюсь,протаскается,1,1,True
16271,расплескать,расплескаю,расплескает,1,1,True
16272,застичь,застигну,застигнет,8*3,8*3,True
16273,обезлесивать,обезлесиваю,обезлесивает,1,1,True
16274,протосковать,протоскую,протоскует,2,2,True
16275,отмутить,отмучу,отмутит,4,4,True
16276,ужиматься,ужимаюсь,ужимается,1,1,True
16277,замазать,замажу,замажет,6,6,True
16278,перескоблить,перескоблю,перескоблит,4,4,True
16279,прорезаться,прорежусь,прорежется,6,6,True
16280,обыностраниться,обыностранюсь,обыностранится,4,4,True
16281,впериться,вперюсь,вперится,4,4,True
16282,отграничиться,отграничусь,отграничится,4,4,True
16283,обсаживать,обсаживаю,обсаживает,1,1,True
16284,трухляветь,трухлявею,трухлявеет,1,1,True
16285,переполняться,переполняюсь,переполняется,1,1,True
16286,снестись,снесусь,снесётся,7с,7с,True
16287,замусливаться,замусливаюсь,замусливается,1,1,True
16288,оттузить,оттужу,оттузит,4,4,True
16289,отдавливать,отдавливаю,отдавливает,1,1,True
16290,жечь,жгу,жжёт,8г,8г,True
16291,высчитывать,высчитываю,высчитывает,1,1,True
16292,обмокать,обмокаю,обмокает,1,1,True
16293,обревизовать,обревизую,обревизует,2,2,True
16294,растрескаться,растрескаюсь,растрескается,1,1,True
16295,расширяться,расширяюсь,расширяется,1,1,True
16296,отметить,отмечу,отметит,4,4,True
16297,растосковаться,растоскуюсь,растоскуется,2,2,True
16298,прилезать,прилезаю,прилезает,1,1,True
16299,разучить,разучу,разучит,4,4,True
16300,наскоблить,наскоблю,наскоблит,4,4,True
16301,христианизироваться,христианизируюсь,христианизируется,2,2,True
16302,взмокнуть,взмокну,взмокнет,3,3,True
16303,узаконить,узаконю,узаконит,4,4,True
16304,нацедиться,нацежусь,нацедится,4,4,True
16305,прохрустеть,прохрущу,прохрустит,5,5,True
16306,втискаться,втискаюсь,втискается,1,1,True
16307,прискакивать,прискакиваю,прискакивает,1,1,True
16308,зарыться,зароюсь,зароется,12ы,12ы,True
16309,вздремнуть,вздремну,вздремнёт,3,3,True
16310,дописываться,дописываюсь,дописывается,1,1,True
16311,смягчать,смягчаю,смягчает,1,1,True
16312,подутюжить,подутюжу,подутюжит,4,4,True
16313,обронить,оброню,обронит,4,4,True
16314,нагрянуть,нагряну,нагрянет,3,3,True
16315,затрястись,затрясусь,затрясётся,7с,7с,True
16316,вышлифовать,вышлифую,вышлифует,2,2,True
16317,шлихтовать,шлихтую,шлихтует,2,2,True
16318,отскоблить,отскоблю,отскоблит,4,4,True
16319,увесить,увешу,увесит,4,4,True
16320,ускориться,ускорюсь,ускорится,4,4,True
16321,грохотнуть,грохотну,грохотнёт,3,3,True
16322,сдаваться,сдаюсь,сдаётся,13,13,True
16323,поглодать,поглодаю,поглодает,1,1,True
16324,заносить,заношу,заносит,4,4,True
16325,свалять,сваляю,сваляет,1,1,True
16326,аттестовать,аттестую,аттестует,2,2,True
16327,устранять,устраняю,устраняет,1,1,True
16328,калибровать,калибрую,калибрует,2,2,True
16329,напружиться,напружусь,напружится,4,4,True
16330,загрести,загребу,загребёт,7б,7б,True
16331,заучиться,заучусь,заучится,4,4,True
16332,разлаживаться,разлаживаюсь,разлаживается,1,1,True
16333,погустеть,погустею,погустеет,1,1,True
16334,прихлынуть,прихлыну,прихлынет,3,3,True
16335,промучаться,промучаюсь,промучается,1,1,True
16336,привянуть,привяну,привянет,3,3,True
16337,почерстветь,почерствею,почерствеет,1,1,True
16338,нарождаться,нарождаюсь,нарождается,1,1,True
16339,подружить,подружу,подружит,4,4,True
16340,русифицироваться,русифицируюсь,русифицируется,2,2,True
16341,обрушиваться,обрушиваюсь,обрушивается,1,1,True
16342,сиживать,сиживаю,сиживает,1,1,True
16343,оглядеться,огляжусь,оглядится,5,5,True
16344,проковырнуть,проковырну,проковырнёт,3,3,True
16345,покрывать,покрываю,покрывает,1,1,True
16346,торкать,торкаю,торкает,1,1,True
16347,вырисовываться,вырисовываюсь,вырисовывается,1,1,True
16348,отлакировать,отлакирую,отлакирует,2,2,True
16349,выгореть,выгорю,выгорит,5,5,True
16350,громыхнуться,громыхнусь,громыхнётся,3,3,True
16351,разукрасить,разукрашу,разукрасит,4,4,True
16352,начесаться,начешусь,начешется,6,6,True
16353,держаться,держусь,держится,5,5,True
16354,воскрешать,воскрешаю,воскрешает,1,1,True
16355,вымарывать,вымарываю,вымарывает,1,1,True
16356,холоднеть,,,1,1,True
16357,переторачивать,переторачиваю,переторачивает,1,1,True
16358,включиться,включусь,включится,4,4,True
16359,видоизменяться,видоизменяюсь,видоизменяется,1,1,True
16360,планировать,планирую,планирует,2,2,True
16361,высинивать,высиниваю,высинивает,1,1,True
16362,потрещать,потрещу,потрещит,5,5,True
16363,окручиваться,окручиваюсь,окручивается,1,1,True
16364,окаймляться,окаймляюсь,окаймляется,1,1,True
16365,заподазривать,заподазриваю,заподазривает,1,1,True
16366,сострагивать,сострагиваю,сострагивает,1,1,True
16367,зарастать,зарастаю,зарастает,1,1,True
16368,отуманиться,отуманюсь,отуманится,4,4,True
16369,устеречься,устерегусь,устережётся,8г,8г,True
16370,похрапеть,похраплю,похрапит,5,5,True
16371,навыкнуть,навыкну,навыкнет,3,3,True
16372,обстрелять,обстреляю,обстреляет,1,1,True
16373,примасливать,примасливаю,примасливает,1,1,True
16374,отмобилизоваться,отмобилизуюсь,отмобилизуется,2,2,True
16375,ложиться,ложусь,ложится,4,4,True
16376,сопрягаться,сопрягаюсь,сопрягается,1,1,True
16377,обкусывать,обкусываю,обкусывает,1,1,True
16378,высушить,высушу,высушит,4,4,True
16379,выжимать,выжимаю,выжимает,1,1,True
16380,переваривать,перевариваю,переваривает,1,1,True
16381,вытаскиваться,вытаскиваюсь,вытаскивается,1,1,True
16382,расстелиться,расстелюсь,расстелится,4,4,True
16383,скончаться,скончаюсь,скончается,1,1,True
16384,экстраполировать,экстраполирую,экстраполирует,2,2,True
16385,золотиться,золочусь,золотится,4,4,True
16386,улицезреть,улицезрю,улицезрит,5,5,True
16387,сряжать,сряжаю,сряжает,1,1,True
16388,шкурничать,шкурничаю,шкурничает,1,1,True
16389,спознаться,спознаюсь,спознается,1,1,True
16390,оделить,оделю,оделит,4,4,True
16391,нагружаться,нагружаюсь,нагружается,1,1,True
16392,пересушиваться,пересушиваюсь,пересушивается,1,1,True
16393,намыливать,намыливаю,намыливает,1,1,True
16394,зажелтеть,зажелтею,зажелтеет,1,1,True
16395,выиграться,выиграюсь,выиграется,1,1,True
16396,наспиртоваться,наспиртуюсь,наспиртуется,2,2,True
16397,разоблачаться,разоблачаюсь,разоблачается,1,1,True
16398,бросаться,бросаюсь,бросается,1,1,True
16399,перелудить,перелужу,перелудит,4,4,True
16400,сытеть,сытею,сытеет,1,1,True
16401,услащать,услащаю,услащает,1,1,True
16402,разниться,разнюсь,разнится,4,4,True
16403,попечалиться,попечалюсь,попечалится,4,4,True
16404,измачиваться,измачиваюсь,измачивается,1,1,True
16405,шелохнуться,шелохнусь,шелохнётся,3,3,True
16406,промесить,промешу,промесит,4,4,True
16407,прирезать,прирезаю,прирезает,1,1,True
16408,проплавлять,проплавляю,проплавляет,1,1,True
16409,обследовать,обследую,обследует,2,2,True
16410,разволноваться,разволнуюсь,разволнуется,2,2,True
16411,смывать,смываю,смывает,1,1,True
16412,перекатить,перекачу,перекатит,4,4,True
16413,сопровождаться,сопровождаюсь,сопровождается,1,1,True
16414,доткать,дотку,доткёт,6,6,True
16415,отъездить,отъезжу,отъездит,4,4,True
16416,прибавить,прибавлю,прибавит,4,4,True
16417,сдружаться,сдружаюсь,сдружается,1,1,True
16418,полупиться,полуплюсь,полупится,4,4,True
16419,поманежиться,поманежусь,поманежится,4,4,True
16420,разъездить,разъезжу,разъездит,4,4,True
16421,ополоть,ополю,ополет,10ол,10ол,True
16422,подробить,подроблю,подробит,4,4,True
16423,вкусить,вкушу,вкусит,4,4,True
16424,умиротвориться,умиротворюсь,умиротворится,4,4,True
16425,напахаться,напашусь,напашется,6,6,True
16426,унести,унесу,унесёт,7с,7с,True
16427,облапошивать,облапошиваю,облапошивает,1,1,True
16428,досчитываться,досчитываюсь,досчитывается,1,1,True
16429,выплескать,выплескаю,выплескает,1,1,True
16430,втиснуть,втисну,втиснет,3,3,True
16431,перезолиться,перезолюсь,перезолится,4,4,True
16432,высвободиться,высвобожусь,высвободится,4,4,True
16433,зашептать,зашепчу,зашепчет,6,6,True
16434,лопаться,лопаюсь,лопается,1,1,True
16435,мужаться,мужаюсь,мужается,1,1,True
16436,замшеть,замшею,замшеет,1,1,True
16437,проваляться,проваляюсь,проваляется,1,1,True
16438,задувать,задуваю,задувает,1,1,True
16439,счертить,счерчу,счертит,4,4,True
16440,титровать,титрую,титрует,2,2,True
16441,застареть,застарею,застареет,1,1,True
16442,озаботиться,озабочусь,озаботится,4,4,True
16443,застрелить,застрелю,застрелит,4,4,True
16444,признаваться,признаюсь,признаётся,13,13,True
16445,выгонять,выгоняю,выгоняет,1,1,True
16446,исподличаться,исподличаюсь,исподличается,1,1,True
16447,зашпиливать,зашпиливаю,зашпиливает,1,1,True
16448,запестреть,запестрею,запестреет,1,5,False
16449,распинать,распинаю,распинает,1,1,True
16450,набрехаться,набрешусь,набрешется,6,6,True
16451,назначить,назначу,назначит,4,4,True
16452,состыковать,состыкую,состыкует,2,2,True
16453,раскрадывать,раскрадываю,раскрадывает,1,1,True
16454,разворовывать,разворовываю,разворовывает,1,1,True
16455,зубриться,зубрюсь,зубрится,4,4,True
16456,долавливать,долавливаю,долавливает,1,1,True
16457,опечатывать,опечатываю,опечатывает,1,1,True
16458,заплести,заплету,заплетёт,7т,7т,True
16459,распарываться,распарываюсь,распарывается,1,1,True
16460,дофилософствоваться,дофилософствуюсь,дофилософствуется,2,2,True
16461,занимать,занимаю,занимает,1,1,True
16462,перекинуться,перекинусь,перекинется,3,3,True
16463,перхать,перхаю,перхает,1,1,True
16464,бешенствовать,бешенствую,бешенствует,2,2,True
16465,перехватать,перехватаю,перехватает,1,1,True
16466,придираться,придираюсь,придирается,1,1,True
16467,закудрявиться,закудрявлюсь,закудрявится,4,4,True
16468,попустить,попущу,попустит,4,4,True
16469,выкуриться,выкурюсь,выкурится,4,4,True
16470,мельчить,мельчу,мельчит,4,4,True
16471,отсвечивать,отсвечиваю,отсвечивает,1,1,True
16472,изучать,изучаю,изучает,1,1,True
16473,сократиться,сокращусь,сократится,4щ,4щ,True
16474,помелить,помелю,помелит,4,4,True
16475,прокормиться,прокормлюсь,прокормится,4,4,True
16476,аргументировать,аргументирую,аргументирует,2,2,True
16477,навиваться,навиваюсь,навивается,1,1,True
16478,отлавировать,отлавирую,отлавирует,2,2,True
16479,напнуться,напнусь,напнётся,3,3,True
16480,повзрослеть,повзрослею,повзрослеет,1,1,True
16481,опорочивать,опорочиваю,опорочивает,1,1,True
16482,отшлифовывать,отшлифовываю,отшлифовывает,1,1,True
16483,спустить,спущу,спустит,4,4,True
16484,сыскать,сыщу,сыщет,6,6,True
16485,оплескать,оплескаю,оплескает,1,1,True
16486,стегнуть,стегну,стегнёт,3,3,True
16487,выполировать,выполирую,выполирует,2,2,True
16488,гноиться,гноюсь,гноится,4,4,True
16489,раздуть,раздую,раздует,12у,12у,True
16490,пополоскать,пополоскаю,пополоскает,1,6,False
16491,зачахнуть,зачахну,зачахнет,3,3,True
16492,рассердить,рассержу,рассердит,4,4,True
16493,застрочить,застрочу,застрочит,4,4,True
16494,добросить,доброшу,добросит,4,4,True
16495,развозиться,развожусь,развозится,4,4,True
16496,попрошайничать,попрошайничаю,попрошайничает,1,1,True
16497,удружить,удружу,удружит,4,4,True
16498,заквашиваться,заквашиваюсь,заквашивается,1,1,True
16499,профильтровать,профильтрую,профильтрует,2,2,True
16500,хлебопашествовать,хлебопашествую,хлебопашествует,2,2,True
16501,злопыхательствовать,злопыхательствую,злопыхательствует,2,2,True
16502,перестановить,перестановлю,перестановит,4,4,True
16503,перекачивать,перекачиваю,перекачивает,1,1,True
16504,воззвать,воззову,воззовёт,6,6,True
16505,философствовать,философствую,философствует,2,2,True
16506,прибредать,прибредаю,прибредает,1,1,True
16507,напучивать,напучиваю,напучивает,1,1,True
16508,ослушиваться,ослушиваюсь,ослушивается,1,1,True
16509,прибавиться,прибавлюсь,прибавится,4,4,True
16510,обязаться,обяжусь,обяжется,6,6,True
16511,закивать,закиваю,закивает,1,1,True
16512,очароваться,очаруюсь,очаруется,2,2,True
16513,сравнивать,сравниваю,сравнивает,1,1,True
16514,наворочать,наворочаю,наворочает,1,1,True
16515,выторговать,выторгую,выторгует,2,2,True
16516,поуправиться,поуправлюсь,поуправится,4,4,True
16517,отбиться,отобьюсь,отобьётся,11,11,True
16518,подыграть,подыграю,подыграет,1,1,True
16519,примастерить,примастерю,примастерит,4,4,True
16520,поколотиться,поколочусь,поколотится,4,4,True
16521,отпрянуть,отпряну,отпрянет,3,3,True
16522,вылиться,выльюсь,выльется,11,11,True
16523,белиться,белюсь,белится,4,4,True
16524,посеребрить,посеребрю,посеребрит,4,4,True
16525,раскокать,раскокаю,раскокает,1,1,True
16526,недовесить,недовешу,недовесит,4,4,True
16527,опускаться,опускаюсь,опускается,1,1,True
16528,связать,свяжу,свяжет,6,6,True
16529,перенюхать,перенюхаю,перенюхает,1,1,True
16530,выметать,вымечу,вымечет,6,1,False
16531,захолонуть,захолону,захолонёт,3,3,True
16532,бродяжить,бродяжу,бродяжит,4,4,True
16533,подливать,подливаю,подливает,1,1,True
16534,наколоть,наколю,наколет,10ол,10ол,True
16535,пропадать,пропадаю,пропадает,1,1,True
16536,подтаскивать,подтаскиваю,подтаскивает,1,1,True
16537,разуть,разую,разует,12у,12у,True
16538,сметь,смею,смеет,1,1,True
16539,растрезвонить,растрезвоню,растрезвонит,4,4,True
16540,дорываться,дорываюсь,дорывается,1,1,True
16541,сидеть,сижу,сидит,5,5,True
16542,засаливаться,засаливаюсь,засаливается,1,1,True
16543,разверзать,разверзаю,разверзает,1,1,True
16544,пережимать,пережимаю,пережимает,1,1,True
16545,перевооружать,перевооружаю,перевооружает,1,1,True
16546,проскребать,проскребаю,проскребает,1,1,True
16547,гомонить,гомоню,гомонит,4,4,True
16548,сводить,свожу,сводит,4,4,True
16549,протискиваться,протискиваюсь,протискивается,1,1,True
16550,замутить,замучу,замутит,4,4,True
16551,отбеливать,отбеливаю,отбеливает,1,1,True
16552,бабничать,бабничаю,бабничает,1,1,True
16553,вытошнить,,,4,4,True
16554,сражать,сражаю,сражает,1,1,True
16555,аммонизировать,аммонизирую,аммонизирует,2,2,True
16556,дожать,дожну,дожнёт,14м,14н,False
16557,выплести,выплету,выплетет,7т,7т,True
16558,отцеживать,отцеживаю,отцеживает,1,1,True
16559,отпыхтеться,отпыхчусь,отпыхтится,5,5,True
16560,дочитать,дочитаю,дочитает,1,1,True
16561,доплестись,доплетусь,доплетётся,7т,7т,True
16562,обмахнуть,обмахну,обмахнёт,3,3,True
16563,распознать,распознаю,распознает,1,1,True
16564,слеплять,слепляю,слепляет,1,1,True
16565,проторять,проторяю,проторяет,1,1,True
